Nama_Pangan;Serat_g;Vitamin_C_mg;Vitamin_A_IU;Jenis;Skor_A;Skor_B;Skor_O;Skor_AB;Target_Pencegahan;Bahasa
Tomatoes, red, ripe, stewed;1.7;18.2;666;Sayur;-1;-1;0;0;Kardiovaskular;English
Artichokes, cooked;8.6;7.4;13;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Broccoli, raw;2.6;89.2;623;Sayur;1;1;1;1;Diabetes, Kanker;English
Broccoli, cooked;3.3;64.9;1548;Sayur;1;1;1;1;Diabetes, Kanker;English
Cauliflower, raw;2.0;48.2;0;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Cauliflower, cooked;2.3;44.3;12;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Broadbeans, cooked;5.4;0.3;15;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Chickpeas, cooked;7.6;1.3;27;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
French beans, cooked;9.4;1.2;3;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Kidney beans, cooked;6.4;1.2;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Lentils, cooked;7.9;1.5;8;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Navy beans, cooked;10.5;0.9;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Okra, cooked;2.5;16.3;283;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Peas, green, raw;5.1;40.0;765;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Peas, green, cooked;5.5;14.2;801;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Peanuts, dry-roasted;8.0;0.0;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Pinto beans, cooked;9.0;0.8;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Soybeans, cooked;6.0;1.7;9;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Asparagus, cooked;2.0;7.7;1006;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Celeriac, raw;1.8;8.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Celeriac, cooked;1.2;3.6;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Celery, raw;1.6;3.1;449;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Celery, cooked;1.6;6.1;521;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Garlic, raw;2.1;31.2;9;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Fennel, raw;3.1;12.0;134;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Kohlrabi, raw;3.6;62.0;36;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Kohlrabi, cooked;1.1;54.0;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Leeks, raw;1.8;12.0;1667;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Leeks, cooked;1.0;4.2;812;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Onions, raw;1.7;7.4;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Onions, cooked;1.4;5.2;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Spring onion or scallions, raw;2.6;18.8;997;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Shallots, raw;0.0;8.0;1190;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Beetroots or beets, raw;2.8;4.9;33;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Beetroots or beets, cooked;2.0;3.6;35;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Carrots, raw;2.8;5.9;16706;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata;English
Carrots, cooked;3.0;3.6;17033;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata;English
Ginger root, raw;2.0;5.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Parsnips, cooked;3.6;13.0;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Potatoes, cooked without skin;1.8;7.4;3;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Radishes, raw;1.6;14.8;7;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Sweet Potato, cooked;2.5;12.8;15740;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Turnips or swede, raw;1.8;21.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Turnips or swede, cooked;2.0;11.6;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Wasabi, root, raw;7.8;41.9;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Yam, cooked;3.9;12.1;122;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
